id;nome;numero_serie;status;carga
1;Card 5th UIC-Franc;Gorgeous 24/7;INATIVO;50488
2;Jewelery payment Principal;Human Planner;EMERGENCIA;85098
3;Soft;clicks-and-mortar;EMERGENCIA;40330
4;bypass;Berkshire bypassing online;EM_USO;17544
5;ivory;International world-class;EMERGENCIA;69074
6;SAS mindshare Ukraine;Metal generate Operations;EM_USO;23820
7;generating;e-commerce Gorgeous lavender;INATIVO;29188
8;AI;Planner Avon;EM_USO;32634
9;Shoes Product Hungary;Regional;INATIVO;39279
10;Metal;Central;EMERGENCIA;1698
